word,meaning,description
Obstruction,"방해물, 장애물","Obstruction... Obstruction... 이 표현은 명사로 '방해물'이라는 뜻입니다. '~에 맞서, 거슬러'를 뜻하는 'ob-'와 '세우다, 짓다'를 뜻하는 'struct(build)'가 합쳐졌어요. 가는 길을 떡하니 막아 세워놓은 구조물을 생각하면 이해가 쏙쏙 되실 거예요. 영화에서는 ""It's an obstruction. What happened down there?"" 이 문장은 ""가려서 안 보여요(장애물이에요). 무슨 일이야?""라는 뜻입니다. Obstruction, 방해물."
Deceit,"기만, 속임수","Deceit... Deceit... 이 표현은 명사로 '기만' 또는 '속임수'라는 뜻입니다. '아래로'를 뜻하는 'de-'와 '잡다'를 뜻하는 'ceit(capere)'가 합쳐졌어요. 누군가를 함정 아래로 떨어뜨려 꽉 잡는다는 무서운 뜻에서 '속임수'라는 의미가 나왔습니다. 영화에서는 ""The same lies, the same deceit."" 이 문장은 ""똑같은 거짓말과 속임수가 판치지.""라는 뜻입니다. Deceit, 기만."
단어,일반적인 뜻,단어설명
Caboodle,"무리, 짐짝","Caboodle... Caboodle... 이 표현은 명사로 '무리' 또는 '짐짝'이라는 뜻입니다. 주로 'the whole kit and caboodle'이라는 숙어로 쓰이는데, '전부, 몽땅'이라는 뜻이에요. 옛날 영국에서 군인들의 장비(kit)와 오두막(boodle)을 합쳐 부르던 재미있는 표현에서 유래했습니다. 영화에서는 'That's the whole kit and caboodle. Catch you later.' 이 문장은 '이게 전부예요. 나중에 봐요.'라는 뜻입니다. Caboodle, 무리."
Shed,"떨어뜨리다, 흘리다","Shed... Shed... 이 표현은 동사로 '떨어뜨리다' 또는 '흘리다'라는 뜻입니다. (명사로는 '창고'라는 뜻도 있어요) 고대 영어 'sceadan'에서 유래했는데, '나누다, 분리하다'라는 의미를 담고 있어요. 뱀이 허물을 벗거나 나무가 잎을 떨어뜨릴 때, 혹은 눈물을 흘릴 때 등 무언가를 몸에서 떨어뜨려 낼 때 씁니다. 영화에서는 'An aircraft in trouble began shedding parts...' 이 문장은 '항공기에 문제가 생겨 부품이 떨어져 나갔습니다...'라는 뜻입니다. Shed, 떨어뜨리다."
Anxious,"불안해하는, 열망하는","Anxious... Anxious... 이 표현은 형용사로 '불안해하는' 또는 '열망하는'이라는 뜻입니다. 라틴어로 '목을 조르다, 질식시키다'라는 뜻의 'angere'에서 파생되었어요. 마음이 답답하고 조마조마한 상태, 또는 무언가를 너무 원해서 애가 타는 마음을 표현할 때 씁니다. 영화에서는 'I'm not that anxious to get there.' 이 문장은 '그렇게 급하지(빨리 가고 싶어 안달 나지) 않거든요.'라는 뜻입니다. Anxious, 불안해하는/열망하는."
Grater,강판,"Grater... Grater... 이 표현은 명사로 '강판'이라는 뜻입니다. '긁다, 문지르다'라는 뜻의 동사 'grate'에 도구를 뜻하는 접미사 '-er'이 붙었어요. 치즈나 당근을 득득 긁어서 잘게 부수는 부엌의 필수 아이템이죠! 영화에서는 'It's a dicer, grater, peeler, all in one.' 이 문장은 '다지기, 강판, 껍질 벗기기가 하나로 된 거예요.'라는 뜻입니다. Grater, 강판."
Stock,"채워 넣다, 비축하다","Stock... Stock... 이 표현은 동사로 '채워 넣다' 또는 '비축하다'라는 뜻입니다. (명사로는 재고, 주식이라는 뜻도 있어요) 고대 영어로 '나무 줄기'를 뜻하는 단어에서 왔는데, 상점의 뼈대가 되는 기본 물품들을 단단하게 채워 넣는다는 의미로 발전했습니다. 영화에서는 'You should try stocking vending machines for a living.' 이 문장은 '너도 먹고살려고 자판기 채우는 일 한번 해봐야 해.'라는 뜻입니다. Stock, 채워 넣다."
Explore,"탐험하다, 탐구하다","Explore... Explore... 이 표현은 동사로 '탐험하다' 또는 '탐구하다'라는 뜻입니다. '밖으로'를 뜻하는 'ex-'와 '소리치다, 울다'를 뜻하는 라틴어 'plorare'가 합쳐졌어요. 옛날 사냥꾼들이 숲 밖으로 짐승을 몰아내기 위해 소리치며 찾아다니던 모습에서 유래한 흥미로운 단어입니다! 영화에서는 'See some of the world, explore.' 이 문장은 '세상 구경도 좀 하고, 탐험도 하고.'라는 뜻입니다. Explore, 탐험하다."
Insane,"미친, 정신 이상의","Insane... Insane... 이 표현은 형용사로 '미친' 또는 '정신 이상의'라는 뜻입니다. '부정(not)'을 뜻하는 접두사 'in-'과 '건강한'을 뜻하는 라틴어 'sanus'가 만났어요. 정신이 건강하지 않다는, 즉 미쳤다는 뜻이 되죠. '제정신이 아닌' 상황을 강조할 때 자주 씁니다. 영화에서는 'It doesn't sound insane at all, Truman.' 이 문장은 '전혀 미친 소리 같지 않아, 트루먼.'이라는 뜻입니다. Insane, 미친."
Blame,"탓하다, 비난하다","Blame... Blame... 이 표현은 동사로 '탓하다' 또는 '비난하다'라는 뜻입니다. 그리스어로 '불경스러운 말을 하다'라는 뜻의 'blasphemein'에서 유래했어요. 누군가에게 잘못을 돌리며 나쁘게 말하는 것을 뜻하죠. 영화에서는 'But I've never blamed you, Truman...' 이 문장은 '하지만 난 널 탓한 적 없다, 트루먼...'이라는 뜻입니다. Blame, 탓하다."
Enduring,"오래가는, 지속되는","Enduring... Enduring... 이 표현은 형용사로 '오래가는' 또는 '지속되는'이라는 뜻입니다. '~안에'를 뜻하는 'en-'과 '단단한'을 뜻하는 라틴어 'durus'가 합쳐진 동사 'endure(견디다)'에 '-ing'가 붙었어요. 단단하게 오래오래 버틴다는 뜻입니다. 영화에서는 'Tonight, we present the enduring, much-loved classic...' 이 문장은 '오늘 밤엔 오랫동안 사랑받아온 고전... 을 보내드립니다.'라는 뜻입니다. Enduring, 오래가는."
Redemption,"구원, 속죄","Redemption... Redemption... 이 표현은 명사로 '구원' 또는 '속죄'라는 뜻입니다. '다시'를 뜻하는 're-'와 '사다(buy)'를 뜻하는 라틴어 'emere'가 합쳐졌어요. 빚이나 죄악에서 값을 치르고 다시 사들여서 구해낸다는 의미가 담긴 아주 심오하고 아름다운 단어입니다. 영화에서는 'Full of laughter and love, pain and sadness, but ultimately redemption...' 이 문장은 '웃음과 사랑, 고통과 슬픔, 그리고 마침내 구원까지...'라는 뜻입니다. Redemption, 구원."
Tribulation,"고난, 시련","Tribulation... Tribulation... 이 표현은 명사로 '고난' 또는 '시련'이라는 뜻입니다. 로마 시대에 곡식을 빻을 때 쓰던 널빤지인 'tribulum'에서 유래했어요. 곡식을 짓이기듯 사람을 짓누르는 고통스러운 시련을 비유적으로 표현한 단어랍니다. 주로 'trials and tribulations'로 세트처럼 묶여서 자주 쓰여요. 영화에서는 '...we share the trials and tribulations of the Abbott family.' 이 문장은 '...애보트 가족의 희로애락(시련과 고난)을 함께 하세요.'라는 뜻입니다. Tribulation, 고난."
Plummet,"곤두박질치다, 급락하다","Plummet... Plummet... 이 표현은 동사로 '곤두박질치다' 또는 '급락하다'라는 뜻입니다. '납(lead)'을 뜻하는 라틴어 'plumbum'에서 왔어요. 무거운 납추가 중력을 이기지 못하고 아래로 훅 떨어지는 아찔한 모습을 상상해 보세요! 영화에서는 'This elevator, it just plummeted down 10 flights..' 이 문장은 '엘리베이터가 10층 아래로 추락했대.'라는 뜻입니다. Plummet, 곤두박질치다."
Amputation,"절단, 절단 수술","Amputation... Amputation... 이 표현은 명사로 '절단' 또는 '절단 수술'이라는 뜻입니다. '둘레에'를 뜻하는 'ambi-'와 '자르다'를 뜻하는 라틴어 'putare'가 결합했어요. 의학 용어로 신체의 일부를 둥글게 잘라내는 외과 수술을 뜻합니다. 영화에서는 'Anyway, I have an amputation on one of the young women...' 이 문장은 '아무튼, 그 엘리베이터에 탔던 젊은 여자 환자 절단 수술이 있어.'라는 뜻입니다. Amputation, 절단."
Arrangement,"준비, 마련, 합의","Arrangement... Arrangement... 이 표현은 명사로 '준비', '마련' 또는 '합의'라는 뜻입니다. '~쪽으로'를 뜻하는 'a(ad)-'와 '줄을 세우다'를 뜻하는 고대 프랑스어 'rangier'가 만났어요. 어떤 일을 위해 차곡차곡 줄을 세워 정리하고 꼼꼼히 준비해 둔다는 뜻입니다. 영화에서는 'It doesn't matter. I'll make other arrangements, okay?' 이 문장은 '됐어요. 다른 방법을 찾아보죠(준비해 보죠).'라는 뜻입니다. Arrangement, 준비."
Frenzy,"광분, 열광","Frenzy... Frenzy... 이 표현은 명사로 '광분' 또는 '열광'이라는 뜻입니다. '마음, 정신'을 뜻하는 그리스어 'phren'에서 유래했어요. 정신이 나갈 정도로 흥분하거나 광기에 휩싸인 상태를 말합니다. 미디어가 미쳐 날뛰는 'feeding frenzy'라는 표현으로 특히 많이 쓰여요! 영화에서는 'The media is having a feeding frenzy over this.' 이 문장은 '언론이 아주 난리가 났다고요.'라는 뜻입니다. Frenzy, 광분."
Pirate,"불법 복제하다, 저작권을 침해하다","Pirate... Pirate... 이 표현은 동사로 '불법 복제하다' 또는 명사로 '해적'이라는 뜻입니다. '시도하다, 공격하다'를 뜻하는 그리스어 'peiran'에서 왔어요. 바다에서 남의 배를 공격하던 '해적'이라는 뜻에서, 현대에는 남의 방송이나 창작물을 몰래 훔쳐 쓰는 행위로 의미가 넓어졌죠. 영화에서는 '...every network has a pirated shot of Marlon...' 이 문장은 '...방송국마다 말론이 바보짓 하는 불법 복제 화면을 내보내고 있어요...'라는 뜻입니다. Pirate, 불법 복제하다/해적."
Proclaim,"선언하다, 공포하다","Proclaim... Proclaim... 이 표현은 동사로 '선언하다' 또는 '공포하다'라는 뜻입니다. '앞으로'를 뜻하는 'pro-'와 '외치다'를 뜻하는 라틴어 'clamare'가 만났어요. 사람들 앞에 당당하게 나서서 큰 소리로 외치며 발표한다는 뜻입니다. 영화에서는 'I hereby proclaim this planet... Trumania...' 이 문장은 '나는 이 행성을... 트루매니아로 명명하노라(선언하노라).'라는 뜻 뜻입니다. Proclaim, 선언하다."
Graphic,"그래픽, 정지 화상","Graphic... Graphic... 이 표현은 명사로 '그래픽, 그림', 형용사로는 '생생한'이라는 뜻입니다. '그리다, 쓰다'를 뜻하는 그리스어 'graphein'에서 유래했어요. 글이나 그림으로 눈앞에 생생하게 그려내는 것을 의미하죠. 영화나 방송에서는 화면에 띄우는 '정지 화상'이나 이미지를 뜻합니다. 영화에서는 'We're getting higher ratings with this graphic than we've ever had...' 이 문장은 '이 정지 화면(그래픽)으로 역대 최고 시청률을 찍고 있는데.'라는 뜻입니다. Graphic, 그래픽/그림."
Sponsor,"광고주, 후원자","Sponsor... Sponsor... 이 표현은 명사로 '광고주' 또는 '후원자'라는 뜻입니다. '엄숙하게 약속하다'라는 뜻의 라틴어 'spondere'에서 왔어요. 누군가를 지지하고 경제적으로 든든하게 뒷받침해주겠다고 공식적으로 맹세하고 약속한 사람이나 기업을 뜻하죠. 영화에서는 'The sponsors are threatening to rip up their contracts.' 이 문장은 '광고주들이 계약 파기하겠다고 난리입니다.'라는 뜻입니다. Sponsor, 광고주."
Transmission,"전송, 송출","Transmission... Transmission... 이 표현은 명사로 '전송' 또는 '송출'이라는 뜻입니다. '가로질러'를 뜻하는 'trans-'와 '보내다'를 뜻하는 라틴어 'mittere(mission)'가 합쳐졌어요. 전파나 신호를 이쪽에서 저쪽으로 쏘아 보낸다는 뜻으로, 방송국 통제실에서 아주 많이 쓰는 단어입니다. 영화에서는 'Increase the wind. Resume transmission.' 이 문장은 '바람 더 키워. 방송 재개해(송출 재개해).'라는 뜻입니다. Transmission, 전송/송출."
Cue,"신호, 큐 사인","Cue... Cue... 이 표현은 명사로 '신호' 또는 '큐 사인'이라는 뜻입니다. (연극이나 방송에서) 언제 무엇을 해야 할지 알려주는 단서를 의미하며, 라틴어 'quando(when)'를 줄여 쓴 알파벳 Q에서 유래했다는 흥미로운 설이 있습니다. 영화에서는 'No scripts, no cue cards.' 이 문장은 '대본도 없고, 큐 카드도 없습니다.'라는 뜻입니다. Cue, 신호."
Directory,"안내 책자, 전화번호부","Directory... Directory... 이 표현은 명사로 '안내 책자' 또는 '전화번호부'라는 뜻입니다. '올바른 길로 이끌다'라는 뜻의 라틴어 'dirigere'에서 왔어요. 사람들의 이름이나 연락처를 길라잡이처럼 쫙 정리해 둔 목록을 뜻합니다. 영화에서는 'Could I have directory assistance for Fiji, please?' 이 문장은 '피지 전화번호 안내 좀 받을 수 있을까요?'라는 뜻입니다. Directory, 안내 책자."
Haul,"운반하다, 무거운 것을 끌다","Haul... Haul... 이 표현은 동사로 '운반하다' 또는 '무거운 것을 끌다'라는 뜻입니다. 고대 프랑스어 'haler(끌어당기다)'에서 유래했어요. 닭이나 무거운 짐을 트럭 같은 곳에 싣고 낑낑대며 옮기는 수고로운 모습을 묘사할 때 딱 맞는 단어죠. 영화에서는 'When you were hauling chickens in the summer for Kaiser...' 이 문장은 '여름에 카이저네 닭 배달할(운반할) 때...'라는 뜻입니다. Haul, 운반하다."
Reunite,"재회하다, 다시 만나다","Reunite... Reunite... 이 표현은 동사로 '재회하다' 또는 '다시 만나다'라는 뜻입니다. '다시'를 뜻하는 're-'와 '하나로 합치다'를 뜻하는 'unite'가 만났어요. 오랫동안 헤어져 있던 사람들이 다시 하나의 그룹으로 뭉친다는 훈훈한 뜻입니다. 영화에서는 'And there'll be tears, too, when David and Jennifer are reunited.' 이 문장은 '데이비드와 제니퍼가 재회할 땐 눈물도 쏟게 되실 겁니다.'라는 뜻입니다. Reunite, 재회하다."
Snap,"끊어지다, 탁 부러지다","Snap... Snap... 이 표현은 동사로 '끊어지다' 또는 '탁 부러지다'라는 뜻입니다. 개가 날카롭게 이빨을 '탁' 부딪치며 무는 소리를 흉내 낸 의성어에서 유래했어요. 밧줄이나 끈이 팽팽하다가 툭 하고 단숨에 끊어질 때 아주 자주 쓰는 생생한 표현입니다. 영화에서는 'This cable just snapped.' 이 문장은 '케이블이 끊어져서(탁 끊어져서)...'라는 뜻입니다. Snap, 끊어지다."
Slip away,"사라지다, 빠져나가다","Slip away... Slip away... 이 표현은 구동사로 '사라지다' 또는 '살며시 빠져나가다'라는 뜻입니다. '미끄러지다'는 뜻의 'slip'과 '멀리'라는 뜻의 'away'가 합쳐져서, 기회나 시간, 혹은 소중한 무언가가 손가락 사이로 스르륵 빠져나가는 안타까운 상황을 묘사합니다. 영화에서는 'I know that feeling, when it's like everything's slipping away...' 이 문장은 '그 기분 알아. 모든 게 손에서 빠져나가는 것 같은데...'라는 뜻입니다. Slip away, 사라지다."
Vital,"생명에 필수적인, 활력 있는","Vital... Vital... 이 표현은 형용사로 '생명에 필수적인' 또는 '활력 있는'이라는 뜻입니다. '생명'을 뜻하는 라틴어 'vita'에서 왔어요. 병원에서 환자의 맥박이나 호흡 같은 핵심적인 생명 징후를 'vital signs(바이탈 사인)'라고 부르죠! 영화에서는 'Vital signs are good.' 이 문장은 '건강 상태(생명 징후) 양호하군.'이라는 뜻입니다. Vital, 생명에 필수적인."
Tidy,"정돈하다, 깔끔한","Tidy... Tidy... 이 표현은 동사로 '정돈하다' (형용사로는 '깔끔한')라는 뜻입니다. '시간, 계절'을 뜻하는 옛날 영어 'tide'에서 유래했어요. 제때제때 때맞춰서 물건들을 제자리에 잘 정리해 두는 부지런하고 깔끔한 모습을 나타냅니다. 영화에서는 'He was just tidying up his garbage.' 이 문장은 '그냥 쓰레기 치우고(정돈하고) 있었어요.'라는 뜻입니다. Tidy, 정돈하다."
Enhance,"향상시키다, 높이다","Enhance... Enhance... 이 표현은 동사로 '향상시키다' 또는 '(가치나 화질을) 높이다'라는 뜻입니다. '높게 하다'라는 뜻의 고대 프랑스어 'enhaucier'에서 유래했어요. 흐릿한 CCTV 화면의 화질을 끌어올리거나, 제품의 질을 더 좋게 업그레이드할 때 주로 사용합니다. 영화에서는 'Under the chair there. Enhance it.' 이 문장은 '의자 밑에. 확대해(화질을 높여봐).'라는 뜻입니다. Enhance, 향상시키다."
Fuss,"호들갑, 소란","Fuss... Fuss... 이 표현은 명사로 '호들갑' 또는 '소란'이라는 뜻입니다. 별일 아닌 것에 콧바람을 쉭쉭 불며 안달복달하는 소리를 흉내 낸 단어로 추측됩니다. 원어민들이 일상회화에서 정말 자주 쓰는 단어예요! 영화에서는 'All this fuss.' 이 문장은 '이 난리를 치다니(호들갑이라니).'라는 뜻입니다. Fuss, 호들갑."
Circulate,"순환하다, 소문이 돌다","Circulate... Circulate... 이 표현은 동사로 '순환하다' 또는 '소문이 돌다'라는 뜻입니다. '원(circle)'을 뜻하는 라틴어 'circulus'에서 왔어요. 피가 온몸을 돌거나 서류, 혹은 뜬소문이 사람들 사이를 빙빙 도는 모습을 상상하면 금방 외워집니다. 영화에서는 'Did you know there's a rumor circulating that he's dead?' 이 문장은 '트루먼이 죽었다는 소문이 도는 거 아세요?'라는 뜻입니다. Circulate, 순환하다."
Buoy,부표,"Buoy... Buoy... 이 표현은 명사로 '부표'라는 뜻입니다. 쇠사슬에 묶여 물 위에 떠 있도록 만든 표지판이나 통을 뜻하는 네덜란드어 'boei'에서 유래했습니다. 물 위에 둥둥 떠서 위험을 알리거나 길을 안내하는 바로 그 장비죠. 영화에서는 'All buoy cams, please.' 이 문장은 '부표 카메라도 띄워 봐.'라는 뜻입니다. Buoy, 부표."
Inspiration,"영감, 자극","Inspiration... Inspiration... 이 표현은 명사로 '영감' 또는 '자극'이라는 뜻입니다. '안으로(in)'와 '숨을 쉬다(spirare)'가 만났어요. 신이 인간의 마음속에 창조적인 숨결을 훅 불어넣어 번뜩이는 아이디어가 떠오르는 아름다운 순간을 의미합니다. 영화에서는 'I am the creator of a television show that gives hope and joy and inspiration to millions.' 이 문장은 '나는 수백만 명에게 희망과 기쁨, 영감을 주는 TV 쇼를 만든 사람이다.'라는 뜻입니다. Inspiration, 영감."
Broadcast,방송하다,"Broadcast... Broadcast... 이 표현은 동사로 '방송하다' 또는 '널리 알리다'라는 뜻입니다. '넓게(broad)'와 '씨를 뿌리다(cast)'가 결합된 단어입니다. 옛날 농부들이 씨앗을 넓게 흩뿌리던 모습에서, 지금은 전파를 사방으로 쫙 뿌려 방송한다는 뜻으로 진화했죠! 영화에서는 'An entire human life recorded on an intricate network of hidden cameras and broadcast live...' 이 문장은 '한 인간의 일생이 정교하게 숨겨진 카메라 네트워크에 기록되고 생중계되어...'라는 뜻입니다. Broadcast, 방송하다."
Brewski,맥주 (속어),"Brewski... Brewski... 이 표현은 명사로 '맥주'를 뜻하는 미국식 구어체 속어(슬랭)입니다. 맥주를 양조하다는 뜻의 'brew'에 슬라브어나 동유럽계 성씨에 자주 붙는 '-ski'를 장난스럽게 붙인 단어예요. 원어민 친구들끼리 ""맥주 한잔하자!"" 할 때 쓰는 아주 찰진 표현입니다. 영화에서는 'Come on, Truman, one ice cold brewski.' 이 문장은 '이봐 트루먼, 시원한 맥주 한잔하러 가자.'라는 뜻입니다. Brewski, 맥주."
Episode,"(방송의) 1회분, 발작","Episode... Episode... 이 표현은 명사로 '방송의 1회분' 또는 의학 용어로 '(병의) 발작'이라는 뜻입니다. 고대 그리스 연극에서 합창과 합창 사이에 배우가 나와 연기하는 '삽입부'에서 유래했어요. 트루먼 쇼의 한 회차도, 실비아의 조현병 증상이 나타나는 한 번의 발작도 모두 에피소드라고 표현합니다. 영화에서는 'Schizophrenia. She has episodes.' 이 문장은 '조현병이야. 가끔 발작을 하지.'라는 뜻입니다. Episode, (방송의) 1회분 / 발작."
Paradise,"낙원, 천국","Paradise... Paradise... 이 표현은 명사로 '낙원' 또는 '천국'이라는 뜻입니다. 고대 이란어에서 '담장으로 둘러싸인 정원'을 뜻하던 단어에서 유래했어요. 바깥세상의 위험으로부터 완벽하게 닫혀 보호받는 아름다운 천국을 상상하면 됩니다. 영화에서는 'And it's another beautiful day in paradise, folks...' 이 문장은 '청취자 여러분, 낙원 같은 이곳은 오늘도 아름다운 날입니다...'라는 뜻입니다. Paradise, 낙원."
Remodel,"개조하다, 리모델링하다","Remodel... Remodel... 이 표현은 동사로 '개조하다' 또는 '리모델링하다'라는 뜻입니다. '다시(re)'와 '형태를 만들다(model)'가 만났어요. 건물이나 구조를 부수고 새로운 형태로 싹 뜯어고친다는 아주 직관적인 뜻이죠. 영화에서는 'Got to go, sir. We're remodeling.' 이 문장은 '가셔야 합니다, 선생님. 리모델링 중이에요(개조 중이에요).'라는 뜻입니다. Remodel, 개조하다."
Alert,"경보, 경계하는","Alert... Alert... 이 표현은 명사로 '경보' (형용사로는 '경계하는')라는 뜻입니다. 이탈리아어 'all'erta(망루에 올라가서)'에서 유래했어요. 높은 망루에서 적이 오나 안 오나 정신을 바짝 차리고 지켜보다가 사람들에게 다급하게 알리는 상황을 뜻합니다. 영화에서는 'This is a red alert.' 이 문장은 '적색경보입니다.'라는 뜻입니다. Alert, 경보."
Rating,"시청률, 평점","Rating... Rating... 이 표현은 명사로 '시청률' 또는 '평점'이라는 뜻입니다. '평가하다'라는 동사 'rate'에서 왔어요. 방송국에서 이 프로그램이 얼마나 가치 있는지 시청자 수를 기준으로 점수를 매기는 것이 바로 시청률이죠. 영화에서는 'We're getting higher ratings with this graphic...' 이 문장은 '이 정지 화면으로 역대 최고 시청률을 찍고 있는데.'라는 뜻입니다. Rating, 시청률."
Blessed,축복받은,"Blessed... Blessed... 이 표현은 형용사로 '축복받은'이라는 뜻입니다. '피를 흘리다, 신성하게 하다'라는 뜻의 고대 영어 'bletsian'에서 유래했어요. 과거 종교적인 의식에서 제단의 피를 뿌려 신성하게 만들던 관습에서 지금의 '축복'이라는 의미로 부드럽게 변했습니다. 영화에서는 ""It is a truly blessed life."" 이 문장은 ""정말 축복받은 삶입니다.""라는 뜻입니다. Blessed, 축복받은."
Gross,"역겨운, 징그러운","Gross... Gross... 이 표현은 형용사로 '역겨운' 또는 '징그러운'이라는 뜻입니다. (명사로 총수익을 뜻하기도 해요!) '두꺼운, 굵은'을 뜻하는 라틴어 'grossus'에서 유래했는데, 정도가 너무 과하거나 노골적이어서 불쾌감을 준다는 뜻으로 발전해 일상회화에서 리액션으로 정말 자주 쓰여요. 영화에서는 ""Gross."" 이 문장은 ""역겨워.""라는 뜻입니다. Gross, 역겨운."
The whole ball of wax,"전부, 모든 것","The whole ball of wax... The whole ball of wax... 이 표현은 숙어로 '전부' 또는 '모든 것'이라는 뜻입니다. 17세기 영국에서 재산을 상속할 때 밀랍(wax)으로 뭉친 공 안에 이름이 적힌 종이를 넣어 제비뽑기를 하던 관습에서 유래했다는 재미있는 설이 있어요. 모든 것이 그 공 안에 다 있다는 뜻이죠! 영화에서는 ""That's the whole ball of wax."" 이 문장은 ""이게 몽땅 다야(전부예요).""라는 뜻입니다. The whole ball of wax, 전부."
Uninsurable,보험에 가입할 수 없는,"Uninsurable... Uninsurable... 이 표현은 형용사로 '보험에 가입할 수 없는'이라는 뜻입니다. '부정'을 뜻하는 접두사 'un-'과 '보험에 들다'라는 동사 'insure', 그리고 '~할 수 있는'이라는 접미사 '-able'이 합쳐진 단어입니다. 위험 부담이 너무 커서 보험사가 거절하는 안타까운 상태죠. 영화에서는 ""If he's in a coma, he's probably uninsurable."" 이 문장은 ""혼수상태라면 보험 가입이 어려울 수 있습니다.""라는 뜻입니다. Uninsurable, 보험에 가입할 수 없는."
Peeler,껍질 벗기는 기구,"Peeler... Peeler... 이 표현은 명사로 '껍질 벗기는 기구'라는 뜻입니다. '껍질을 벗기다'라는 뜻의 동사 'peel'에 도구를 의미하는 접미사 '-er'이 붙었어요. 피부 관리할 때 쓰는 필링(peeling)과 같은 어원으로, 주방에서 감자나 과일 깎을 때 쓰는 필수템입니다. 영화에서는 ""It's a dicer, grater, peeler, all in one."" 이 문장은 ""다지기, 강판, 껍질 벗기기가 하나로 된 거예요.""라는 뜻입니다. Peeler, 껍질 벗기는 기구."
Around the corner,"코앞에 다가온, 임박한","Around the corner... Around the corner... 이 표현은 숙어로 '코앞에 다가온' 또는 '임박한'이라는 뜻입니다. 길 모퉁이(corner)만 쓱 돌면(around) 바로 나타난다는 뜻에서, 시간적으로나 공간적으로 무언가가 아주 가까이 다가온 상태를 생생하게 표현합니다. 영화에서는 ""Bonus time is just around the corner."" 이 문장은 ""보너스 탈 때도 다 됐으니까(코앞이니까).""라는 뜻입니다. Around the corner, 코앞에 다가온."
Bum around,빈둥거리며 돌아다니다,"Bum around... Bum around... 이 표현은 구동사로 '빈둥거리며 돌아다니다'라는 뜻입니다. '게으름뱅이, 부랑자'를 뜻하는 명사 'bum'에서 파생되어, 특별한 목적이나 직장 없이 이리저리 떠돌아다니며 욜로(YOLO)처럼 사는 삶을 묘사할 때 써요. 영화에서는 ""We can bum around the world for a year on that."" 이 문장은 ""그 돈이면 1년 동안 전 세계를 (빈둥거리며) 돌아다닐 수 있어.""라는 뜻입니다. Bum around, 빈둥거리며 돌아다니다."
Erase,"지우다, 없애다","Erase... Erase... 이 표현은 동사로 '지우다' 또는 '없애다'라는 뜻입니다. '밖으로'를 뜻하는 접두사 'e(ex)-'와 '긁다'를 뜻하는 라틴어 'radere'가 만났어요. 옛날에 종이 대신 쓰던 양피지에 적힌 글씨를 칼로 박박 긁어서 없애던 모습에서 유래한 흥미로운 단어입니다. 영화에서는 ""they couldn't erase the memory."" 이 문장은 ""기억까지 지울 순 없었던 거지.""라는 뜻입니다. Erase, 지우다."
Commit to memory,"암기하다, 기억해 두다","Commit to memory... Commit to memory... 이 표현은 숙어로 '암기하다' 또는 '기억해 두다'라는 뜻입니다. '맡기다, 위임하다'라는 뜻의 동사 'commit'을 사용하여, 중요한 정보나 외워야 할 것들을 내 머릿속(memory)에 단단히 맡겨 둔다는 진지한 뉘앙스를 가집니다. 영화에서는 ""I got to commit this to memory."" 이 문장은 ""이거 다 외워야 해(기억해 둬야 해).""라는 뜻입니다. Commit to memory, 암기하다."
Pretend,"~인 척하다, 연기하다","Pretend... Pretend... 이 표현은 동사로 '~인 척하다' 또는 '연기하다'라는 뜻입니다. '앞으로'를 뜻하는 'pre-'와 '뻗다'를 뜻하는 라틴어 'tendere'가 합쳐졌어요. 남들 앞에서 그럴싸한 모습을 쭉 뻗어 내밀며, 사실이 아닌 것을 진짜인 것처럼 뻔뻔하게 꾸민다는 뜻이죠. 영화에서는 ""Everybody's pretending."" 이 문장은 ""다들 연기하는 거라고(인 척하는 거라고).""라는 뜻입니다. Pretend, ~인 척하다."
"Close, but no cigar","아깝게 틀린, 거의 맞출 뻔한","Close, but no cigar... Close, but no cigar... 이 표현은 숙어로 '아깝게 틀린' 또는 '거의 맞출 뻔한'이라는 뜻입니다. 20세기 초 미국 유원지 사격 게임에서, 아슬아슬하게 우승을 놓친 사람에게 ""가까웠지만, 우승 상품인 시가(cigar)는 못 주겠네!""라고 놀리던 데서 유래한 아주 위트 있는 관용구랍니다. 영화에서는 ""Close, but no cigar."" 이 문장은 ""아깝네, 거의 맞출 뻔했는데.""라는 뜻입니다. Close, but no cigar, 아깝게 틀린."
Buckle up,"안전벨트를 매다, 단단히 준비하다","Buckle up... Buckle up... 이 표현은 구동사로 '안전벨트를 매다' 또는 '단단히 준비하다'라는 뜻입니다. 버클(buckle)을 찰칵 채운다(up)는 뜻에서 왔으며, 차를 탈 때뿐만 아니라 앞으로 벌어질 흥미진진하거나 충격적인 일을 앞두고 마음의 준비를 하라고 경고할 때도 멋지게 씁니다. 영화에서는 ""don't forget to buckle up out there in radioland."" 이 문장은 ""청취자 여러분, 운전하실 땐 안전벨트 매는 거 잊지 마시고요.""라는 뜻입니다. Buckle up, 안전벨트를 매다."
